,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
79,13.57,2.99,3.0,-3.5,-15.53,-4.91,0.0,-5.8,1021.79,-5.06,0.09,0.78,1.28,1.58,1.58,10.0,36.0,38.02,43.51,44.23,-4.88,887.53,-23.77,-11.05,-3.43,0.8,2.12,0.0,0.0,19.4,11.6,4.4,1.9,1.8,-3.1
80,13.76,3.13,3.1,-3.21,-15.82,-0.81,0.0,-4.92,1021.22,-0.92,0.1,0.53,1.3,1.32,1.32,12.0,22.5,31.12,27.15,27.12,1.63,888.55,-24.07,-10.22,-1.18,3.59,5.11,0.0,0.0,16.9,11.6,4.9,3.2,3.2,2.3
81,13.09,2.68,2.7,-3.07,-16.1,0.31,0.0,-0.81,1020.09,0.33,0.2,0.47,1.24,1.31,1.31,23.0,19.0,26.78,24.12,24.09,1.99,888.15,-24.18,-9.74,0.3,5.23,6.73,0.0,0.0,20.2,10.8,4.1,2.8,2.8,4.9
82,11.66,1.87,1.9,-2.18,-16.09,-3.9,0.0,-3.54,1022.33,0.29,0.23,0.32,1.2,1.34,1.34,25.0,12.0,28.16,28.29,27.97,-5.68,889.82,-23.52,-8.72,-0.56,4.33,5.77,0.0,0.0,23.3,10.2,3.0,2.1,2.1,-0.3
83,9.75,2.44,2.4,-2.45,-16.82,-5.7,0.0,-5.72,1025.76,-3.9,0.17,0.31,1.08,1.28,1.28,14.02,11.0,27.49,32.55,33.76,-7.06,891.81,-20.61,-8.38,-1.57,2.31,3.65,0.0,0.0,26.7,9.5,2.8,0.9,1.0,-0.8
84,9.74,2.31,2.3,-2.21,-18.08,-5.13,0.0,-5.78,1027.41,-5.1,0.3,0.22,0.99,1.25,1.26,25.58,6.74,24.28,33.36,34.54,-6.59,892.7,-20.98,-6.46,-0.94,2.77,3.95,0.08,0.0,23.9,11.1,2.3,0.0,0.0,-2.0
85,8.7,2.15,2.2,-1.74,-18.09,-5.46,0.0,-5.48,1027.95,-5.11,0.67,0.24,1.06,1.19,1.2,56.34,7.88,27.31,34.35,34.73,-7.21,893.33,-20.74,-6.6,-1.54,2.78,3.87,0.23,0.0,20.9,10.3,3.6,1.3,1.2,-1.0
86,7.95,1.49,1.5,-1.16,-18.13,-5.44,0.0,-5.53,1027.71,-5.33,0.81,0.31,1.06,1.19,1.19,62.69,9.5,26.02,39.18,39.3,-7.53,893.23,-20.01,-6.48,-1.18,3.12,4.29,3.52,0.0,19.4,9.7,3.2,0.9,1.0,-1.5
87,5.97,1.25,1.3,-0.44,-18.46,-2.65,0.0,-5.44,1028.61,-3.0,1.0,0.28,1.14,1.16,1.16,78.25,8.0,27.31,34.8,34.27,-3.56,894.11,-20.12,-5.82,-0.83,3.0,4.15,8.44,0.0,15.9,8.7,4.1,0.8,0.9,-0.9
88,8.47,1.73,1.7,2.24,-16.86,1.9,0.0,-2.64,1026.56,1.81,0.88,0.41,1.31,1.32,1.32,74.74,11.5,29.5,24.85,24.73,3.77,893.76,-20.85,-5.55,-0.16,4.61,6.02,9.84,0.0,15.5,9.6,4.1,2.4,2.5,6.4
89,9.32,2.5,2.5,1.08,-14.05,1.81,0.0,1.71,1024.24,2.41,1.18,1.35,1.84,1.84,1.85,100.0,41.0,40.75,35.68,35.93,2.69,891.98,-21.45,-6.06,0.11,4.74,6.2,10.0,0.0,16.5,10.9,4.0,1.9,2.0,8.2
